indekss,iela,ielas numurs,novads,pilsēta,pagasts,ciems
LV-1001,Šarlotes iela,6,,Rīga,,
LV-1001,Šarlotes iela,6A,,Rīga,,
LV-1001,Šarlotes iela,7,,Rīga,,
LV-1001,Šarlotes iela,9,,Rīga,,
LV-1001,Šarlotes iela,16,,Rīga,,
LV-1001,Šarlotes iela,18,,Rīga,,
LV-1001,Šarlotes iela,18A,,Rīga,,
LV-1002,Aleksandra Grīna bulvāris,7,,Rīga,,
LV-1002,Aleksandra Grīna bulvāris,9,,Rīga,,
LV-1002,Aleksandra Grīna bulvāris,11,,Rīga,,
LV-1002,Aleksandra Grīna bulvāris,13,,Rīga,,
LV-1002,Aleksandra Grīna bulvāris,15,,Rīga,,
LV-1002,Aleksandra Grīna bulvāris,15 k-1,,Rīga,,
LV-1002,Amulas iela,1,,Rīga,,
LV-1002,Amulas iela,2,,Rīga,,
LV-1002,Amulas iela,2A,,Rīga,,
LV-1002,Amulas iela,3,,Rīga,,
LV-1002,Amulas iela,4,,Rīga,,
LV-1002,Amulas iela,5,,Rīga,,
LV-1002,Amulas iela,6,,Rīga,,
LV-1002,Amulas iela,7,,Rīga,,
LV-1002,Amulas iela,8,,Rīga,,
LV-1002,Amulas iela,8A,,Rīga,,
LV-1002,Amulas iela,9,,Rīga,,
LV-1002,Amulas iela,9A,,Rīga,,
LV-1002,Amulas iela,10,,Rīga,,
LV-1002,Amulas iela,11,,Rīga,,
LV-1002,Amulas iela,12,,Rīga,,
LV-1002,Amālijas iela,1,,Rīga,,
LV-1002,Amālijas iela,1A,,Rīga,,
LV-1002,Amālijas iela,2,,Rīga,,
LV-1002,Amālijas iela,2A,,Rīga,,
LV-1002,Amālijas iela,4,,Rīga,,
LV-1002,Amālijas iela,5,,Rīga,,
LV-1002,Amālijas iela,5A,,Rīga,,
LV-1002,Amālijas iela,7,,Rīga,,
LV-1002,Amālijas iela,8,,Rīga,,
LV-1002,Amālijas iela,9,,Rīga,,
LV-1002,Amālijas iela,9A,,Rīga,,
LV-1002,Amālijas iela,11,,Rīga,,
LV-1002,Amālijas iela,12,,Rīga,,
LV-1002,Amālijas iela,13,,Rīga,,
LV-1002,Amālijas iela,15,,Rīga,,
LV-1002,Amālijas iela,17,,Rīga,,
LV-1002,Astras iela,1,,Rīga,,
LV-1002,Astras iela,1A,,Rīga,,
LV-1002,Astras iela,3,,Rīga,,
LV-1002,Astras iela,3A,,Rīga,,
LV-1002,Astras iela,4,,Rīga,,
LV-1002,Astras iela,5,,Rīga,,
LV-1002,Astras iela,7,,Rīga,,
LV-1002,Astras iela,8,,Rīga,,
LV-1002,Astras iela,10,,Rīga,,
LV-1002,Astras iela,10A,,Rīga,,
LV-1002,Astras iela,10B,,Rīga,,
LV-1002,Astras iela,10 k-3,,Rīga,,
LV-1002,Astras iela,11,,Rīga,,
LV-1002,Astras iela,11A,,Rīga,,
LV-1002,Astras iela,11B,,Rīga,,
LV-1002,Astras iela,12,,Rīga,,
LV-1002,Astras iela,12A,,Rīga,,
LV-1002,Astras iela,13,,Rīga,,
LV-1002,Astras iela,13A,,Rīga,,
LV-1002,Astras iela,14,,Rīga,,
LV-1002,Astras iela,15,,Rīga,,
LV-1002,Astras iela,15A,,Rīga,,
LV-1002,Astras iela,15B,,Rīga,,
LV-1002,Atpūtas iela,1,,Rīga,,
LV-1002,Atpūtas iela,2,,Rīga,,
LV-1002,Atpūtas iela,2A,,Rīga,,
LV-1002,Atpūtas iela,2B,,Rīga,,
LV-1002,Atpūtas iela,2C,,Rīga,,
LV-1002,Atpūtas iela,3,,Rīga,,
LV-1002,Atpūtas iela,4,,Rīga,,
LV-1002,Atpūtas iela,5,,Rīga,,
LV-1002,Atpūtas iela,6,,Rīga,,
LV-1002,Atpūtas iela,7,,Rīga,,
LV-1002,Atpūtas iela,8,,Rīga,,
LV-1002,Atpūtas iela,9,,Rīga,,
LV-1002,Atpūtas iela,11,,Rīga,,
LV-1002,Atpūtas iela,12,,Rīga,,
LV-1002,Atpūtas iela,13,,Rīga,,
LV-1002,Atpūtas iela,14,,Rīga,,
LV-1002,Atpūtas iela,16,,Rīga,,
LV-1002,Atpūtas iela,18,,Rīga,,
LV-1002,Atpūtas iela,20,,Rīga,,
LV-1002,Atpūtas iela,22,,Rīga,,
LV-1002,Atpūtas iela,24,,Rīga,,
LV-1002,Augļu iela,1,,Rīga,,
LV-1002,Augļu iela,1A,,Rīga,,
LV-1002,Augļu iela,1B,,Rīga,,
LV-1002,Augļu iela,1C,,Rīga,,
LV-1002,Augļu iela,2,,Rīga,,
LV-1002,Augļu iela,2A,,Rīga,,
LV-1002,Augļu iela,3,,Rīga,,
LV-1002,Augļu iela,4,,Rīga,,
LV-1002,Augļu iela,5,,Rīga,,
LV-1002,Augļu iela,6,,Rīga,,
LV-1002,Augļu iela,7,,Rīga,,
LV-1002,Augļu iela,8,,Rīga,,
LV-1002,Augļu iela,8A,,Rīga,,
LV-1002,Augļu iela,9,,Rīga,,
LV-1002,Augļu iela,10,,Rīga,,
LV-1002,Augļu iela,10A,,Rīga,,
LV-1002,Augļu iela,11,,Rīga,,
LV-1002,Augļu iela,11A,,Rīga,,
LV-1002,Augļu iela,11B,,Rīga,,
LV-1002,Augļu iela,12,,Rīga,,
LV-1002,Augļu iela,12A,,Rīga,,
LV-1002,Augļu iela,14,,Rīga,,
LV-1002,Bišu iela,1,,Rīga,,
LV-1002,Bišu iela,3,,Rīga,,
LV-1002,Bišu iela,4,,Rīga,,
LV-1002,Bišu iela,4A,,Rīga,,
LV-1002,Bišu iela,5,,Rīga,,
LV-1002,Bišu iela,6,,Rīga,,
LV-1002,Bišu iela,7,,Rīga,,
LV-1002,Bišu iela,8,,Rīga,,
LV-1002,Bišu iela,10,,Rīga,,
LV-1002,Bišu iela,11,,Rīga,,
LV-1002,Bišu iela,12,,Rīga,,
LV-1002,Bišu iela,13,,Rīga,,
LV-1002,Bišu iela,14,,Rīga,,
LV-1002,Bišu iela,15,,Rīga,,
LV-1002,Bišu iela,16,,Rīga,,
LV-1002,Bišu iela,16A,,Rīga,,
LV-1002,Bišu iela,17,,Rīga,,
LV-1002,Bišu iela,17A,,Rīga,,
LV-1002,Bišu iela,18,,Rīga,,
LV-1002,Bišu iela,20,,Rīga,,
LV-1002,Bišu iela,22,,Rīga,,
LV-1002,Brūkleņu iela,1,,Rīga,,
LV-1002,Brūkleņu iela,2,,Rīga,,
LV-1002,Brūkleņu iela,2A,,Rīga,,
LV-1002,Brūkleņu iela,2B,,Rīga,,
LV-1002,Brūkleņu iela,3,,Rīga,,
LV-1002,Brūkleņu iela,4,,Rīga,,
LV-1002,Brūkleņu iela,5,,Rīga,,
LV-1002,Brūkleņu iela,5A,,Rīga,,
LV-1002,Brūkleņu iela,7,,Rīga,,
LV-1002,Brūkleņu iela,11,,Rīga,,
LV-1002,Brūkleņu iela,13,,Rīga,,
LV-1002,Brūkleņu iela,15,,Rīga,,
LV-1002,Brūkleņu iela,18,,Rīga,,
LV-1002,Brūkleņu iela,18A,,Rīga,,
LV-1002,Brūkleņu iela,27,,Rīga,,
LV-1002,Brūkleņu iela,29,,Rīga,,
LV-1002,Brūkleņu iela,30,,Rīga,,
LV-1002,Brūkleņu iela,32,,Rīga,,
LV-1002,Brūkleņu iela,34,,Rīga,,
LV-1002,Brūkleņu iela,35,,Rīga,,
LV-1002,Brūkleņu iela,36,,Rīga,,
LV-1002,Brūkleņu iela,38,,Rīga,,
LV-1002,Brūkleņu iela,40,,Rīga,,
LV-1002,Brūkleņu iela,43,,Rīga,,
LV-1002,Brūkleņu iela,43A,,Rīga,,
LV-1002,Brūkleņu iela,43B,,Rīga,,
LV-1002,Brūkleņu iela,43C,,Rīga,,
LV-1002,Bāriņu iela,1,,Rīga,,
LV-1002,Bāriņu iela,1A,,Rīga,,
LV-1002,Bāriņu iela,2,,Rīga,,
LV-1002,Bāriņu iela,3,,Rīga,,
LV-1002,Bāriņu iela,5,,Rīga,,
LV-1002,Bāriņu iela,5A,,Rīga,,
LV-1002,Bāriņu iela,5B,,Rīga,,
LV-1002,Bāriņu iela,5C,,Rīga,,
LV-1002,Bāriņu iela,7,,Rīga,,
LV-1002,Bāriņu iela,7 k-1,,Rīga,,
LV-1002,Bāriņu iela,8,,Rīga,,
LV-1002,Bāriņu iela,9,,Rīga,,
LV-1002,Bāriņu iela,10,,Rīga,,
LV-1002,Bāriņu iela,11,,Rīga,,
LV-1002,Cieceres iela,1,,Rīga,,
LV-1002,Cieceres iela,2,,Rīga,,
LV-1002,Cieceres iela,3,,Rīga,,
LV-1002,Cieceres iela,3A,,Rīga,,
LV-1002,Cieceres iela,4,,Rīga,,
